,precision,recall,f1-score,support
0,0.7710843373493976,0.9552238805970149,0.8533333333333334,67.0
1,0.918918918918919,0.6415094339622641,0.7555555555555555,53.0
accuracy,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667
macro avg,0.8450016281341584,0.7983666572796395,0.8044444444444445,120.0
weighted avg,0.8363779442092696,0.8166666666666667,0.8101481481481482,120.0
